CEP_ORIGEM;LAT_ORIGEM;LOG_ORIGEM;CEP_DESTINO;LAT_DESTINO;LOG_DESTINO
74410090;-16,68360;-49,29761;74353250;-16,74892;-49,33238
74375500;-16,69313;-49,32891;74643010;-16,67221;-49,24993
74470541;-16,63234;-49,35786;74605080;-16,67217;-49,24599
74360100;-16,73418;-49,31707;74083070;-16,68472;-49,25316
74455090;-16,67003;-49,32861;74455050;-16,66821;-49,32146
74580300;-16,65230;-49,29694;74230257;-16,68542;-49,28987
74210190;-16,69620;-49,28049;74543350;-16,67387;-49,28115
74230030;-16,72004;-49,26780;74823395;-16,72108;-49,26239
74230110;-16,71616;-49,27094;74120110;-16,69001;-49,27191
74413120;-16,69044;-49,30432;74405010;-16,68091;-49,30006
74605080;-16,67217;-49,24599;74884900;-16,70300;-49,22721
74481305;-16,60207;-49,32896;74503100;-16,67399;-49,29739
74425190;-16,68064;-49,30683;74493060;-16,68616;-49,38790
74360100;-16,73418;-49,31707;74080060;-16,68289;-49,25901
74845140;-16,71935;-49,24351;74055100;-16,67002;-49,25968
74325060;-16,70613;-49,31708;74884900;-16,70300;-49,22721
74371807;-16,74342;-49,36592;74170060;-16,69637;-49,26261
74255470;-16,70594;-49,29424;74463165;-16,65345;-49,33360
74393820;-16,73126;-49,37688;74650340;-16,65707;-49,23643
74480480;-16,60706;-49,34620;74055100;-16,67002;-49,25968
74605170;-16,68033;-49,24657;74805480;-16,70320;-49,23320
74210060;-16,70702;-49,28765;74645070;-16,66212;-49,25170
74360390;-16,73200;-49,31503;74223080;-16,70979;-49,26919
74591103;-16,61973;-49,28455;74255460;-16,70386;-49,29037
74495520;-16,67913;-49,38894;74150130;-16,70088;-49,26649
74070150;-16,67052;-49,27339;74555120;-16,65368;-49,28273
74355527;-16,78316;-49,36485;74830130;-16,72825;-49,26318
74655370;-16,65361;-49,25174;74013040;-16,67748;-49,26144
74672400;-16,64060;-49,23995;74805480;-16,70320;-49,23320
74684225;-16,60061;-49,21069;74670010;-16,64118;-49,24154
74255480;-16,71175;-49,29446;74810100;-16,71088;-49,24312
74481240;-16,60361;-49,33877;74481241;-16,60305;-49,33804
74543040;-16,67568;-49,27868;74275080;-16,72099;-49,28459
74440360;-16,65528;-49,29789;74440460;-16,65678;-49,30602
74180081;-16,70424;-49,25590;74670150;-16,64095;-49,24276
74355656;-16,75103;-49,35583;74110030;-16,68026;-49,27224
74230022;-16,71991;-49,26694;74435300;-16,66985;-49,30966
74493390;-16,67621;-49,38999;74275230;-16,70900;-49,28369
74475095;-16,62030;-49,32854;74215170;-16,70663;-49,27231
74275070;-16,71579;-49,29035;74280315;-16,72199;-49,27380
74420230;-16,68827;-49,32045;74425535;-16,67510;-49,31711
74370699;-16,72334;-49,33963;74140020;-16,69149;-49,27123
74555385;-16,65777;-49,28706;74555345;-16,65900;-49,27917
74265280;-16,69944;-49,29217;74055150;-16,67017;-49,26488
74520040;-16,66752;-49,29698;74520070;-16,67276;-49,29719
74030060;-16,67885;-49,25283;74645070;-16,66212;-49,25170
74371420;-16,73434;-49,34483;74645070;-16,66212;-49,25170
74770310;-16,66559;-49,18733;74043010;-16,67728;-49,26535
74115100;-16,68547;-49,26882;74533030;-16,68714;-49,28144
74491185;-16,66513;-49,41921;74491180;-16,66559;-49,41938
74460210;-16,66485;-49,34194;74525060;-16,67570;-49,29423
74460210;-16,66485;-49,34194;74525060;-16,67570;-49,29423
74345220;-16,74641;-49,29388;74330670;-16,71913;-49,30817
74491716;-16,68128;-49,44035;74555561;-16,63480;-49,31503
74810250;-16,69744;-49,24286;74884115;-16,69943;-49,22607
74423060;-16,68505;-49,31335;74405010;-16,68091;-49,30006
74484422;-16,69990;-49,35833;74484423;-16,69608;-49,35007
74325230;-16,71196;-49,31705;74474251;-16,63627;-49,33118
74493192;-16,66024;-49,37869;74450010;-16,66497;-49,32938
74495200;-16,67540;-49,38157;74420030;-16,68385;-49,32365
74770400;-16,66128;-49,19055;74000000;-16,81463;-49,42526
74481140;-16,61207;-49,33689;74375660;-16,69680;-49,33345
74460130;-16,66333;-49,34010;74080330;-16,68672;-49,25613
74484711;-16,70744;-49,37245;74280185;-16,71191;-49,27584
74357663;-16,79708;-49,36042;74357651;-16,79596;-49,36368
74890350;-16,74743;-49,20134;74845350;-16,72134;-49,24305
74890350;-16,74743;-49,20134;74845350;-16,72134;-49,24305
74563330;-16,65453;-49,27214;74255220;-16,71028;-49,29496
74684235;-16,60017;-49,21178;74403010;-16,68029;-49,30305
74440560;-16,66163;-49,30546;74440340;-16,65693;-49,29787
74305320;-16,69477;-49,29549;74115030;-16,68945;-49,26775
74477088;-16,59856;-49,35125;74655295;-16,65112;-49,25726
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492
74850320;-16,72939;-49,23766;74210250;-16,69211;-49,27843
74850320;-16,72939;-49,23766;74210250;-16,69211;-49,27843
74850320;-16,72939;-49,23766;74210250;-16,69211;-49,27843
74475250;-16,60506;-49,31980;74445190;-16,65211;-49,31761
74475250;-16,60506;-49,31980;74445190;-16,65211;-49,31761
74475250;-16,60506;-49,31980;74445190;-16,65211;-49,31761
74475250;-16,60506;-49,31980;74445190;-16,65211;-49,31761
74603190;-16,68250;-49,24676;74884537;-16,70187;-49,20492
74230050;-16,71975;-49,26920;74884900;-16,70300;-49,22721
74230050;-16,71975;-49,26920;74884900;-16,70300;-49,22721
74230050;-16,71975;-49,26920;74884900;-16,70300;-49,22721
74230050;-16,71975;-49,26920;74884900;-16,70300;-49,22721
74230050;-16,71975;-49,26920;74884900;-16,70300;-49,22721
74230050;-16,71975;-49,26920;74884900;-16,70300;-49,22721
74230050;-16,71975;-49,26920;74884900;-16,70300;-49,22721
74815420;-16,71002;-49,24325;74884537;-16,70187;-49,20492
74815420;-16,71002;-49,24325;74884537;-16,70187;-49,20492
74815420;-16,71002;-49,24325;74884537;-16,70187;-49,20492
74815420;-16,71002;-49,24325;74884537;-16,70187;-49,20492
74055160;-16,66912;-49,25658;74888118;-16,70465;-49,19774
74055160;-16,66912;-49,25658;74888118;-16,70465;-49,19774
74055160;-16,66912;-49,25658;74888118;-16,70465;-49,19774
74055160;-16,66912;-49,25658;74888118;-16,70465;-49,19774
74055160;-16,66912;-49,25658;74888118;-16,70465;-49,19774
74055160;-16,66912;-49,25658;74888118;-16,70465;-49,19774
74055160;-16,66912;-49,25658;74888118;-16,70465;-49,19774
74055160;-16,66912;-49,25658;74888118;-16,70465;-49,19774
74055160;-16,66912;-49,25658;74888118;-16,70465;-49,19774
74055160;-16,66912;-49,25658;74888118;-16,70465;-49,19774
74055160;-16,66912;-49,25658;74888118;-16,70465;-49,19774
74055160;-16,66912;-49,25658;74888118;-16,70465;-49,19774
74055160;-16,66912;-49,25658;74888118;-16,70465;-49,19774
74703060;-16,67208;-49,21567;74884537;-16,70187;-49,20492
74474317;-16,60540;-49,31638;74475115;-16,62948;-49,32823
74474317;-16,60540;-49,31638;74475115;-16,62948;-49,32823
74474317;-16,60540;-49,31638;74475115;-16,62948;-49,32823
74463230;-16,64794;-49,33206;74475115;-16,62948;-49,32823
74475115;-16,62948;-49,32823;74513030;-16,67556;-49,29522
74483008;-16,69555;-49,37498;74475115;-16,62948;-49,32823
74740310;-16,69447;-49,20214;74884537;-16,70187;-49,20492
74120020;-16,68900;-49,26890;74110120;-16,68122;-49,27179
74481710;-16,62363;-49,34686;74420150;-16,67681;-49,31891
74690690;-16,60543;-49,25226;74650270;-16,65683;-49,24370
74730280;-16,68864;-49,20959;74070160;-16,67063;-49,27177
74885070;-16,73970;-49,20644;74175090;-16,70778;-49,26187
74354665;-16,75166;-49,35970;74884537;-16,70187;-49,20492
74354665;-16,75166;-49,35970;74884537;-16,70187;-49,20492
74354665;-16,75166;-49,35970;74884537;-16,70187;-49,20492
74354665;-16,75166;-49,35970;74884537;-16,70187;-49,20492
74354665;-16,75166;-49,35970;74884537;-16,70187;-49,20492
74843555;-16,74613;-49,30296;74275170;-16,71779;-49,28482
74843555;-16,74613;-49,30296;74275170;-16,71779;-49,28482
74843555;-16,74613;-49,30296;74275170;-16,71779;-49,28482
74843555;-16,74613;-49,30296;74275170;-16,71779;-49,28482
74843555;-16,74613;-49,30296;74275170;-16,71779;-49,28482
74843555;-16,74613;-49,30296;74275170;-16,71779;-49,28482
