AREA;ORIGINADO;DESTINADO;TOTAL
204;NA;NA;NA
37;NA;NA;NA
46;NA;NA;NA
91B;NA;NA;NA
2132A;NA;NA;NA
91A;NA;NA;NA
2192A;NA;NA;NA
2132B;NA;NA;NA
2192B;NA;NA;NA
99;NA;NA;NA
94A;NA;NA;NA
92A;NA;NA;NA
82;NA;NA;NA
1;NA;NA;NA
27B;NA;NA;NA
26;NA;NA;NA
35;NA;NA;NA
96B;NA;NA;NA
206A;NA;NA;NA
157;NA;NA;NA
237;NA;NA;NA
85;NA;NA;NA
203A;NA;NA;NA
196;NA;NA;NA
148A;NA;NA;NA
143A;NA;NA;NA
141;NA;NA;NA
194A;NA;NA;NA
149A;NA;NA;NA
150A;NA;NA;NA
150C;NA;NA;NA
239C;NA;NA;NA
239A;NA;NA;NA
239B;NA;NA;NA
