CEP_ORIGEM;LAT_ORIGEM;LOG_ORIGEM;CEP_DESTINO;LAT_DESTINO;LOG_DESTINO;POINT_ORIGEM;INTERSECCAO_ORIGEM;AREA_ORIGEM;POINT_DESTINO;INTERSECCAO_DESTINO;AREA_DESTINO
74810210;-16,70372;-49,24387;74605140;-16,67593;-49,24895;c(-49.24387, -16.70372);282;40;c(-49.24895, -16.67593);287;30
74563300;-16,65476;-49,27149;74835130;-16,72248;-49,26643;c(-49.27149, -16.65476);230;74;c(-49.26643, -16.72248);274;97
74713290;-16,68228;-49,22835;74655145;-16,65467;-49,25402;c(-49.22835, -16.68228);254;86;c(-49.25402, -16.65467);284;76
74410090;-16,68360;-49,29761;74353250;-16,74892;-49,33238;c(-49.29761, -16.6836);185;121;c(-49.33238, -16.74892);158;106
74375500;-16,69313;-49,32891;74643010;-16,67221;-49,24993;c(-49.32891, -16.69313);177;167B;c(-49.24993, -16.67221);293;29
74470541;-16,63234;-49,35786;74605080;-16,67217;-49,24599;c(-49.35786, -16.63234);207;181C;c(-49.24599, -16.67217);295;31
74360100;-16,73418;-49,31707;74083070;-16,68472;-49,25316;c(-49.31707, -16.73418);153;105;c(-49.25316, -16.68472);290;8
74455090;-16,67003;-49,32861;74455050;-16,66821;-49,32146;c(-49.32861, -16.67003);139;173;c(-49.32146, -16.66821);168;174
74580300;-16,65230;-49,29694;74230257;-16,68542;-49,28987;c(-49.29694, -16.6523);120;137;c(-49.28987, -16.68542);184;61
74210190;-16,69620;-49,28049;74543350;-16,67387;-49,28115;c(-49.28049, -16.6962);83;51;c(-49.28115, -16.67387);90;69
74230030;-16,72004;-49,26780;74823395;-16,72108;-49,26239;c(-49.2678, -16.72004);272;48;c(-49.26239, -16.72108);276;47
74230110;-16,71616;-49,27094;74120110;-16,69001;-49,27191;c(-49.27094, -16.71616);275;58;c(-49.27191, -16.69001);305;16
74413120;-16,69044;-49,30432;74405010;-16,68091;-49,30006;c(-49.30432, -16.69044);182;120;c(-49.30006, -16.68091);169;122
74605080;-16,67217;-49,24599;74884900;-16,70300;-49,22721;c(-49.24599, -16.67217);295;31;c(-49.22721, -16.703);325;90C
74481305;-16,60207;-49,32896;74503100;-16,67399;-49,29739;c(-49.32896, -16.60207);209;187;c(-49.29739, -16.67399);190;126B
74425190;-16,68064;-49,30683;74493060;-16,68616;-49,38790;c(-49.30683, -16.68064);171;123;c(-49.3879, -16.68616);107;171
74360100;-16,73418;-49,31707;74080060;-16,68289;-49,25901;c(-49.31707, -16.73418);153;105;c(-49.25901, -16.68289);310;9
74845140;-16,71935;-49,24351;74055100;-16,67002;-49,25968;c(-49.24351, -16.71935);280;39;c(-49.25968, -16.67002);300;24
74325060;-16,70613;-49,31708;74884900;-16,70300;-49,22721;c(-49.31708, -16.70613);131;113;c(-49.22721, -16.703);325;90C
74371807;-16,74342;-49,36592;74170060;-16,69637;-49,26261;c(-49.36592, -16.74342);142;164A;c(-49.26261, -16.69637);303;14
74255470;-16,70594;-49,29424;74463165;-16,65345;-49,33360;c(-49.29424, -16.70594);183;54;c(-49.3336, -16.65345);141;179
74393820;-16,73126;-49,37688;74650340;-16,65707;-49,23643;c(-49.37688, -16.73126);132;164B;c(-49.23643, -16.65707);286;77
74480480;-16,60706;-49,34620;74055100;-16,67002;-49,25968;c(-49.3462, -16.60706);200;184;c(-49.25968, -16.67002);300;24
74605170;-16,68033;-49,24657;74805480;-16,70320;-49,23320;c(-49.24657, -16.68033);287;30;c(-49.2332, -16.7032);322;36
74210060;-16,70702;-49,28765;74645070;-16,66212;-49,25170;c(-49.28765, -16.70702);183;54;c(-49.2517, -16.66212);285;28
74360390;-16,73200;-49,31503;74223080;-16,70979;-49,26919;c(-49.31503, -16.732);154;107;c(-49.26919, -16.70979);249;49
74591103;-16,61973;-49,28455;74255460;-16,70386;-49,29037;c(-49.28455, -16.61973);74;191;c(-49.29037, -16.70386);183;54
74495520;-16,67913;-49,38894;74150130;-16,70088;-49,26649;c(-49.38894, -16.67913);147;172A;c(-49.26649, -16.70088);303;14
74070150;-16,67052;-49,27339;74555120;-16,65368;-49,28273;c(-49.27339, -16.67052);316;21;c(-49.28273, -16.65368);92;71
74355527;-16,78316;-49,36485;74830130;-16,72825;-49,26318;c(-49.36485, -16.78316);13;158A;c(-49.26318, -16.72825);274;97
74655370;-16,65361;-49,25174;74013040;-16,67748;-49,26144;c(-49.25174, -16.65361);284;76;c(-49.26144, -16.67748);298;3
74672400;-16,64060;-49,23995;74805480;-16,70320;-49,23320;c(-49.23995, -16.6406);228;144B;c(-49.2332, -16.7032);322;36
74684225;-16,60061;-49,21069;74670010;-16,64118;-49,24154;c(-49.21069, -16.60061);340;203B;c(-49.24154, -16.64118);228;144B
74255480;-16,71175;-49,29446;74810100;-16,71088;-49,24312;c(-49.29446, -16.71175);140;55;c(-49.24312, -16.71088);246;38
74481240;-16,60361;-49,33877;74481241;-16,60305;-49,33804;c(-49.33877, -16.60361);209;187;c(-49.33804, -16.60305);209;187
74543040;-16,67568;-49,27868;74275080;-16,72099;-49,28459;c(-49.27868, -16.67568);90;69;c(-49.28459, -16.72099);77;59
74440360;-16,65528;-49,29789;74440460;-16,65678;-49,30602;c(-49.29789, -16.65528);191;130;c(-49.30602, -16.65678);187;129
74180081;-16,70424;-49,25590;74670150;-16,64095;-49,24276;c(-49.2559, -16.70424);309;13;c(-49.24276, -16.64095);228;144B
74355656;-16,75103;-49,35583;74110030;-16,68026;-49,27224;c(-49.35583, -16.75103);128;159;c(-49.27224, -16.68026);299;18
74230022;-16,71991;-49,26694;74435300;-16,66985;-49,30966;c(-49.26694, -16.71991);272;48;c(-49.30966, -16.66985);170;125
74493390;-16,67621;-49,38999;74275230;-16,70900;-49,28369;c(-49.38999, -16.67621);147;172A;c(-49.28369, -16.709);89;56
74475095;-16,62030;-49,32854;74215170;-16,70663;-49,27231;c(-49.32854, -16.6203);210;189;c(-49.27231, -16.70663);306;50
74275070;-16,71579;-49,29035;74280315;-16,72199;-49,27380;c(-49.29035, -16.71579);140;55;c(-49.2738, -16.72199);274;97
74420230;-16,68827;-49,32045;74425535;-16,67510;-49,31711;c(-49.32045, -16.68827);172;118;c(-49.31711, -16.6751);175;124
74370699;-16,72334;-49,33963;74140020;-16,69149;-49,27123;c(-49.33963, -16.72334);124;163;c(-49.27123, -16.69149);305;16
74555385;-16,65777;-49,28706;74555345;-16,65900;-49,27917;c(-49.28706, -16.65777);92;71;c(-49.27917, -16.659);92;71
74265280;-16,69944;-49,29217;74055150;-16,67017;-49,26488;c(-49.29217, -16.69944);88;52;c(-49.26488, -16.67017);319;23
74520040;-16,66752;-49,29698;74520070;-16,67276;-49,29719;c(-49.29698, -16.66752);194;66;c(-49.29719, -16.67276);167;64
74030060;-16,67885;-49,25283;74645070;-16,66212;-49,25170;c(-49.25283, -16.67885);296;6;c(-49.2517, -16.66212);285;28
74371420;-16,73434;-49,34483;74645070;-16,66212;-49,25170;c(-49.34483, -16.73434);124;163;c(-49.2517, -16.66212);285;28
74770310;-16,66559;-49,18733;74043010;-16,67728;-49,26535;c(-49.18733, -16.66559);335;155;c(-49.26535, -16.67728);298;3
74115100;-16,68547;-49,26882;74533030;-16,68714;-49,28144;c(-49.26882, -16.68547);304;17;c(-49.28144, -16.68714);82;62
74491185;-16,66513;-49,41921;74491180;-16,66559;-49,41938;c(-49.41921, -16.66513);108;212;c(-49.41938, -16.66559);108;212
74460210;-16,66485;-49,34194;74525060;-16,67570;-49,29423;c(-49.34194, -16.66485);179;175;c(-49.29423, -16.6757);167;64
74460210;-16,66485;-49,34194;74525060;-16,67570;-49,29423;c(-49.34194, -16.66485);179;175;c(-49.29423, -16.6757);167;64
74345220;-16,74641;-49,29388;74330670;-16,71913;-49,30817;c(-49.29388, -16.74641);152;102;c(-49.30817, -16.71913);161;109
74491716;-16,68128;-49,44035;74555561;-16,63480;-49,31503;c(-49.44035, -16.68128);108;212;c(-49.31503, -16.6348);100;135B
74810250;-16,69744;-49,24286;74884115;-16,69943;-49,22607;c(-49.24286, -16.69744);322;36;c(-49.22607, -16.69943);255;90A
74423060;-16,68505;-49,31335;74405010;-16,68091;-49,30006;c(-49.31335, -16.68505);174;119;c(-49.30006, -16.68091);169;122
74484422;-16,69990;-49,35833;74484423;-16,69608;-49,35007;c(-49.35833, -16.6999);135;166;c(-49.35007, -16.69608);135;166
74325230;-16,71196;-49,31705;74474251;-16,63627;-49,33118;c(-49.31705, -16.71196);131;113;c(-49.33118, -16.63627);196;182B
74493192;-16,66024;-49,37869;74450010;-16,66497;-49,32938;c(-49.37869, -16.66024);148;177;c(-49.32938, -16.66497);168;174
74495200;-16,67540;-49,38157;74420030;-16,68385;-49,32365;c(-49.38157, -16.6754);147;172A;c(-49.32365, -16.68385);173;168
74770400;-16,66128;-49,19055;74000000;-16,81463;-49,42526;c(-49.19055, -16.66128);335;155;c(-49.42526, -16.81463);39;250B
74481140;-16,61207;-49,33689;74375660;-16,69680;-49,33345;c(-49.33689, -16.61207);209;187;c(-49.33345, -16.6968);178;167A
74460130;-16,66333;-49,34010;74080330;-16,68672;-49,25613;c(-49.3401, -16.66333);179;175;c(-49.25613, -16.68672);310;9
74484711;-16,70744;-49,37245;74280185;-16,71191;-49,27584;c(-49.37245, -16.70744);126;165B;c(-49.27584, -16.71191);260;57
74357663;-16,79708;-49,36042;74357651;-16,79596;-49,36368;c(-49.36042, -16.79708);47;208A;c(-49.36368, -16.79596);47;208A
74890350;-16,74743;-49,20134;74845350;-16,72134;-49,24305;c(-49.20134, -16.74743);330;96A;c(-49.24305, -16.72134);280;39
74890350;-16,74743;-49,20134;74845350;-16,72134;-49,24305;c(-49.20134, -16.74743);330;96A;c(-49.24305, -16.72134);280;39
74563330;-16,65453;-49,27214;74255220;-16,71028;-49,29496;c(-49.27214, -16.65453);230;74;c(-49.29496, -16.71028);140;55
74684235;-16,60017;-49,21178;74403010;-16,68029;-49,30305;c(-49.21178, -16.60017);340;203B;c(-49.30305, -16.68029);171;123
74440560;-16,66163;-49,30546;74440340;-16,65693;-49,29787;c(-49.30546, -16.66163);187;129;c(-49.29787, -16.65693);191;130
74305320;-16,69477;-49,29549;74115030;-16,68945;-49,26775;c(-49.29549, -16.69477);180;116;c(-49.26775, -16.68945);305;16
74477088;-16,59856;-49,35125;74655295;-16,65112;-49,25726;c(-49.35125, -16.59856);197;185;c(-49.25726, -16.65112);232;75
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492;c(-49.25437, -16.65107);284;76;c(-49.20492, -16.70187);258;90B
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492;c(-49.25437, -16.65107);284;76;c(-49.20492, -16.70187);258;90B
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492;c(-49.25437, -16.65107);284;76;c(-49.20492, -16.70187);258;90B
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492;c(-49.25437, -16.65107);284;76;c(-49.20492, -16.70187);258;90B
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492;c(-49.25437, -16.65107);284;76;c(-49.20492, -16.70187);258;90B
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492;c(-49.25437, -16.65107);284;76;c(-49.20492, -16.70187);258;90B
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492;c(-49.25437, -16.65107);284;76;c(-49.20492, -16.70187);258;90B
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492;c(-49.25437, -16.65107);284;76;c(-49.20492, -16.70187);258;90B
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492;c(-49.25437, -16.65107);284;76;c(-49.20492, -16.70187);258;90B
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492;c(-49.25437, -16.65107);284;76;c(-49.20492, -16.70187);258;90B
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492;c(-49.25437, -16.65107);284;76;c(-49.20492, -16.70187);258;90B
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492;c(-49.25437, -16.65107);284;76;c(-49.20492, -16.70187);258;90B
74655035;-16,65107;-49,25437;74884537;-16,70187;-49,20492;c(-49.25437, -16.65107);284;76;c(-49.20492, -16.70187);258;90B
74850320;-16,72939;-49,23766;74210250;-16,69211;-49,27843;c(-49.23766, -16.72939);278;92B;c(-49.27843, -16.69211);83;51
74850320;-16,72939;-49,23766;74210250;-16,69211;-49,27843;c(-49.23766, -16.72939);278;92B;c(-49.27843, -16.69211);83;51
74850320;-16,72939;-49,23766;74210250;-16,69211;-49,27843;c(-49.23766, -16.72939);278;92B;c(-49.27843, -16.69211);83;51
74475250;-16,60506;-49,31980;74445190;-16,65211;-49,31761;c(-49.3198, -16.60506);199;188A;c(-49.31761, -16.65211);112;131B
74475250;-16,60506;-49,31980;74445190;-16,65211;-49,31761;c(-49.3198, -16.60506);199;188A;c(-49.31761, -16.65211);112;131B
74475250;-16,60506;-49,31980;74445190;-16,65211;-49,31761;c(-49.3198, -16.60506);199;188A;c(-49.31761, -16.65211);112;131B
74475250;-16,60506;-49,31980;74445190;-16,65211;-49,31761;c(-49.3198, -16.60506);199;188A;c(-49.31761, -16.65211);112;131B
74603190;-16,68250;-49,24676;74884537;-16,70187;-49,20492;c(-49.24676, -16.6825);289;33;c(-49.20492, -16.70187);258;90B
74230050;-16,71975;-49,26920;74884900;-16,70300;-49,22721;c(-49.2692, -16.71975);272;48;c(-49.22721, -16.703);325;90C
74230050;-16,71975;-49,26920;74884900;-16,70300;-49,22721;c(-49.2692, -16.71975);272;48;c(-49.22721, -16.703);325;90C
74230050;-16,71975;-49,26920;74884900;-16,70300;-49,22721;c(-49.2692, -16.71975);272;48;c(-49.22721, -16.703);325;90C
74230050;-16,71975;-49,26920;74884900;-16,70300;-49,22721;c(-49.2692, -16.71975);272;48;c(-49.22721, -16.703);325;90C
74230050;-16,71975;-49,26920;74884900;-16,70300;-49,22721;c(-49.2692, -16.71975);272;48;c(-49.22721, -16.703);325;90C
