CEP;LAT;LOG
74120100;-16,68671;-49,26143
74120110;-16,69001;-49,27191
74120115;-16,68824;-49,26182
74120120;-16,69056;-49,26330
74120130;-16,69127;-49,27301
74120140;-16,69088;-49,26473
74120160;-16,68811;-49,26386
74120170;-16,68973;-49,26330
74120200;-16,68878;-49,26717
74125020;-16,67907;-49,27802
74125030;-16,67882;-49,27902
74125040;-16,67974;-49,27765
74125045;-16,67922;-49,27771
74125050;-16,68000;-49,27667
74125060;-16,67789;-49,27898
74125065;-16,68260;-49,27671
74125070;-16,68165;-49,27750
74125080;-16,68487;-49,27737
74125095;-16,68609;-49,27866
74125100;-16,69178;-49,27714
74125110;-16,68348;-49,27697
74125115;-16,68877;-49,26589
74125120;-16,67939;-49,27888
74125130;-16,68489;-49,27677
74125140;-16,68630;-49,27655
74125150;-16,68809;-49,27662
74125160;-16,68787;-49,27586
74125170;-16,69174;-49,27763
74125180;-16,68655;-49,27361
74125200;-16,68765;-49,27741
74130011;-16,68731;-49,27808
74130015;-16,67972;-49,26324
74140020;-16,69149;-49,27123
74140035;-16,69131;-49,27653
74140040;-16,68924;-49,27242
74140050;-16,69151;-49,27199
74140060;-16,69075;-49,27302
74140070;-16,68851;-49,27242
74140080;-16,69067;-49,27466
74140090;-16,68816;-49,27708
74140100;-16,68933;-49,27601
74140110;-16,69037;-49,27547
74140120;-16,68877;-49,27650
74140130;-16,69093;-49,27445
74140140;-16,69164;-49,27656
74140150;-16,69168;-49,27788
74140160;-16,69190;-49,27245
74150020;-16,70255;-49,26905
74150030;-16,69787;-49,27088
74150040;-16,69269;-49,27297
74150060;-16,69389;-49,27313
74150070;-16,69268;-49,26952
74150080;-16,69341;-49,26929
74150090;-16,69412;-49,26936
74150100;-16,69477;-49,26912
74150110;-16,69443;-49,26541
74150130;-16,70088;-49,26649
74150140;-16,69768;-49,26783
74150160;-16,69611;-49,27040
74150170;-16,69524;-49,27129
74150180;-16,69547;-49,27063
74150190;-16,69419;-49,27108
74150200;-16,69585;-49,27185
74150210;-16,69547;-49,26919
74150220;-16,69673;-49,26834
74150230;-16,69569;-49,26676
74150240;-16,69756;-49,26896
74150250;-16,69807;-49,26807
74150260;-16,69931;-49,26721
74150270;-16,70067;-49,26616
74150300;-16,69919;-49,26835
74150310;-16,70046;-49,26732
74150320;-16,70199;-49,26610
74150330;-16,70282;-49,26505
74150340;-16,70291;-49,27304
74160010;-16,70880;-49,26502
74170010;-16,69239;-49,26485
74170020;-16,69271;-49,26411
74170030;-16,69898;-49,26385
74170040;-16,69560;-49,26217
74170050;-16,69487;-49,26346
74170060;-16,69637;-49,26261
74170080;-16,69855;-49,26340
74170090;-16,69777;-49,26201
74170100;-16,69736;-49,26136
74170110;-16,69720;-49,26139
74170115;-16,69123;-49,26233
74170120;-16,69950;-49,26392
74170130;-16,69885;-49,26250
74170140;-16,69779;-49,26255
74170150;-16,69747;-49,26418
74175040;-16,70149;-49,26068
74175050;-16,70280;-49,26384
74175060;-16,70139;-49,26380
74175070;-16,70789;-49,26348
74175080;-16,70903;-49,26266
74175090;-16,70778;-49,26187
74175100;-16,70891;-49,26113
74175110;-16,70660;-49,26368
74175120;-16,70902;-49,26343
74175130;-16,70414;-49,26359
74175140;-16,70412;-49,26277
74175150;-16,70868;-49,26357
74180010;-16,70743;-49,25986
74180015;-16,70207;-49,25310
74180016;-16,69994;-49,25329
74180020;-16,70316;-49,25619
74180030;-16,69847;-49,25384
74180040;-16,70186;-49,26387
74180050;-16,70505;-49,26389
74180060;-16,70449;-49,25772
74180070;-16,70341;-49,25629
74180081;-16,70424;-49,25590
74180090;-16,70408;-49,26197
74180100;-16,70394;-49,26113
74180110;-16,70376;-49,26067
74180120;-16,70296;-49,25988
74180130;-16,70121;-49,25960
74180140;-16,70040;-49,25969
74180150;-16,69959;-49,25991
74180160;-16,70103;-49,25799
74180170;-16,70221;-49,25687
74180180;-16,70311;-49,25704
74180190;-16,70548;-49,26021
74180200;-16,70636;-49,26017
74180210;-16,70721;-49,26033
74180220;-16,70664;-49,25953
74191853;-16,67270;-49,40757
74205300;-16,63402;-49,33937
74210025;-16,70629;-49,28199
74210030;-16,70354;-49,27887
74210040;-16,70162;-49,28026
74210050;-16,70305;-49,28135
74210060;-16,70702;-49,28765
74210070;-16,68686;-49,28770
74210080;-16,68506;-49,28859
74210081;-16,68363;-49,28925
74210090;-16,68457;-49,28890
74210095;-16,68482;-49,28722
74210100;-16,68950;-49,28766
74210101;-16,69053;-49,28893
74210102;-16,69018;-49,28764
74210103;-16,68827;-49,28767
74210104;-16,68952;-49,28825
74210105;-16,68879;-49,28651
74210106;-16,68608;-49,28909
74210107;-16,68813;-49,28924
74210108;-16,68817;-49,28880
74210109;-16,68429;-49,28966
74210110;-16,69098;-49,28677
74210112;-16,68848;-49,28995
74210113;-16,68324;-49,28954
74210114;-16,68422;-49,29032
74210115;-16,68150;-49,29049
74210116;-16,68396;-49,29076
74210120;-16,69036;-49,28767
74210121;-16,68922;-49,29147
74210122;-16,68735;-49,29108
74210123;-16,68850;-49,29004
74210124;-16,68806;-49,29041
74210125;-16,68845;-49,29412
74210126;-16,68813;-49,29108
74210129;-16,69229;-49,29185
74210130;-16,68790;-49,28766
74210140;-16,69242;-49,28384
74210150;-16,69166;-49,28372
74210160;-16,68784;-49,27900
74210170;-16,68803;-49,27808
74210180;-16,69270;-49,28196
74210185;-16,69246;-49,27851
74210190;-16,69620;-49,28049
74210195;-16,69539;-49,27789
74210200;-16,69719;-49,27914
74210210;-16,69310;-49,27566
74210220;-16,69476;-49,27547
74210230;-16,69142;-49,28136
74210250;-16,69211;-49,27843
74210260;-16,69493;-49,28263
74210270;-16,69945;-49,27906
74210280;-16,71047;-49,28484
74210290;-16,68769;-49,28106
74210300;-16,69263;-49,28608
74210310;-16,69473;-49,27733
74210330;-16,70614;-49,26851
74210350;-16,68969;-49,28492
74210355;-16,68808;-49,28385
74215005;-16,70638;-49,29003
74215017;-16,68740;-49,29077
74215025;-16,70435;-49,27533
74215070;-16,69923;-49,26989
74215080;-16,69728;-49,27483
74215090;-16,69881;-49,27405
74215110;-16,70966;-49,28762
74215120;-16,70201;-49,27636
74215130;-16,70218;-49,26876
74215140;-16,70471;-49,27571
74215150;-16,70536;-49,27380
74215160;-16,70595;-49,27312
74215170;-16,70663;-49,27231
74215180;-16,69669;-49,27270
74215200;-16,69914;-49,27719
74215210;-16,70154;-49,27696
74215220;-16,70261;-49,27596
74215240;-16,70444;-49,27392
74223010;-16,71889;-49,26449
74223045;-16,71998;-49,26868
74223052;-16,71892;-49,26559
74223060;-16,70831;-49,27228
74223070;-16,70682;-49,26927
74223080;-16,70979;-49,26919
74223091;-16,70566;-49,26586
74223100;-16,70856;-49,27624
74223130;-16,70830;-49,26927
74223150;-16,70873;-49,26591
74223165;-16,71049;-49,26574
74223170;-16,71116;-49,26894
74223180;-16,71278;-49,27144
74223200;-16,70615;-49,26799
74223210;-16,71279;-49,26626
74223220;-16,70417;-49,26856
74223230;-16,70568;-49,27080
74230010;-16,71908;-49,27624
74230015;-16,71562;-49,27602
74230022;-16,71991;-49,26694
74230030;-16,72004;-49,26780
74230042;-16,72020;-49,26977
74230050;-16,71975;-49,26920
74230055;-16,71909;-49,26942
74230100;-16,71465;-49,27087
74230110;-16,71616;-49,27094
74230120;-16,71808;-49,26976
74230130;-16,72020;-49,26835
74230140;-16,71205;-49,27202
74230150;-16,71100;-49,27260
74230160;-16,71046;-49,27307
74230170;-16,70957;-49,27367
74230180;-16,70846;-49,27450
74230190;-16,70782;-49,27509
74230200;-16,70697;-49,27577
74230220;-16,72001;-49,26412
74230250;-16,69028;-49,28794
74230251;-16,69121;-49,28830
74230255;-16,68795;-49,28808
74230257;-16,68542;-49,28987
74230260;-16,68859;-49,28879
74230265;-16,68718;-49,28903
74230270;-16,68983;-49,28833
74230285;-16,69097;-49,28907
74230300;-16,68827;-49,28959
74230350;-16,68960;-49,29010
74230355;-16,69186;-49,29060
74230360;-16,69036;-49,29091
74230365;-16,69148;-49,29253
74230370;-16,69162;-49,28930
74230375;-16,69198;-49,29082
74250010;-16,72184;-49,28526
74250020;-16,72234;-49,29289
74250030;-16,72393;-49,29046
74250040;-16,71141;-49,28802
74250050;-16,72555;-49,28970
74250080;-16,71629;-49,29103
74250090;-16,71637;-49,29358
74250100;-16,72017;-49,28781
74250130;-16,72122;-49,28513
74250170;-16,72120;-49,28379
74250210;-16,71933;-49,29317
74250220;-16,71828;-49,28568
74250230;-16,72008;-49,29319
74250240;-16,72122;-49,29316
74250250;-16,72153;-49,28695
74250260;-16,72298;-49,29280
74250270;-16,72358;-49,29232
74250280;-16,72418;-49,29188
74250290;-16,72467;-49,29083
74250300;-16,72494;-49,29050
74250310;-16,72164;-49,28445
74250325;-16,71792;-49,29346
74255040;-16,70379;-49,29077
74255050;-16,71340;-49,29421
74255060;-16,72560;-49,29548
74255070;-16,71127;-49,28629
74255080;-16,70285;-49,29326
74255100;-16,72087;-49,29309
74255110;-16,72432;-49,29472
74255120;-16,72332;-49,29379
74255130;-16,72535;-49,29319
74255140;-16,72111;-49,29233
74255150;-16,72457;-49,29128
74255160;-16,72095;-49,29067
74255170;-16,72035;-49,28713
74255190;-16,71133;-49,28921
74255210;-16,70948;-49,28634
74255220;-16,71028;-49,29496
74255230;-16,70790;-49,28656
74255240;-16,70848;-49,29508
74255250;-16,70671;-49,28695
74255260;-16,70719;-49,29167
74255265;-16,71649;-49,28634
74255270;-16,70761;-49,29481
74255280;-16,70716;-49,29459
74255290;-16,70637;-49,29431
74255300;-16,70591;-49,29435
74255320;-16,70535;-49,29412
74255330;-16,70451;-49,28722
74255340;-16,70326;-49,29384
74255350;-16,70222;-49,28107
74255360;-16,70249;-49,29362
74255370;-16,70795;-49,29398
74255380;-16,70612;-49,28809
74255390;-16,70511;-49,28922
74255400;-16,70242;-49,28916
74255410;-16,70240;-49,28998
74255420;-16,70345;-49,29089
74255430;-16,70406;-49,28932
74255440;-16,70643;-49,29069
74255450;-16,71267;-49,28899
74255460;-16,70386;-49,29037
74255470;-16,70594;-49,29424
74255480;-16,71175;-49,29446
74255490;-16,70721;-49,29250
74255500;-16,72303;-49,28807
74265010;-16,70218;-49,29109
74265020;-16,69520;-49,28864
74265030;-16,69300;-49,29219
74265040;-16,69664;-49,29259
74265050;-16,70058;-49,29280
74265060;-16,69747;-49,29314
74265080;-16,69312;-49,28877
74265100;-16,69324;-49,29196
74265110;-16,69401;-49,28888
74265120;-16,69495;-49,29206
74265130;-16,69523;-49,29197
74265135;-16,69531;-49,28786
74265140;-16,69584;-49,28623
74265150;-16,69673;-49,29191
74265155;-16,69653;-49,28803
74265160;-16,69715;-49,28629
74265170;-16,69802;-49,29230
74265180;-16,69862;-49,28655
74265190;-16,69935;-49,28718
74265210;-16,70043;-49,28621
74265220;-16,69885;-49,28722
74265230;-16,69866;-49,28810
74265240;-16,70154;-49,28996
74265250;-16,69840;-49,28952
74265260;-16,69460;-49,29044
74265270;-16,69445;-49,29136
74265280;-16,69944;-49,29217
74265290;-16,70021;-49,29246
74265300;-16,70077;-49,29314
74265310;-16,70132;-49,29294
74265320;-16,70199;-49,29313
74265330;-16,69534;-49,28444
74265350;-16,71443;-49,28090
74265360;-16,69430;-49,29023
74265370;-16,69932;-49,28806
74268165;-16,71352;-49,27779
74270020;-16,70282;-49,28609
74270030;-16,70517;-49,28284
74270040;-16,70303;-49,28413
74270050;-16,70404;-49,28620
74270060;-16,70306;-49,28509
74270080;-16,69735;-49,28327
74270090;-16,69743;-49,28364
74270100;-16,69751;-49,28392
74270110;-16,69829;-49,28393
74270120;-16,69781;-49,28318
74270130;-16,69842;-49,28272
74270140;-16,69958;-49,28311
74270150;-16,69977;-49,28180
74270160;-16,70066;-49,28442
74270170;-16,70125;-49,28458
74270180;-16,70129;-49,28525
74270190;-16,70163;-49,28483
74270200;-16,70192;-49,28498
74270210;-16,70237;-49,28524
74270220;-16,70770;-49,28524
74270230;-16,70764;-49,28458
74270240;-16,70750;-49,28390
74270250;-16,70715;-49,28292
74270260;-16,70285;-49,28346
74270270;-16,70404;-49,28558
74270280;-16,70422;-49,28301
74270290;-16,70560;-49,28527
74270300;-16,70558;-49,28283
74270310;-16,70680;-49,28519
74270320;-16,70716;-49,28264
74270340;-16,70229;-49,28207
74270360;-16,70410;-49,28036
74270400;-16,70107;-49,28092
74270410;-16,70223;-49,28121
74275010;-16,72091;-49,28550
74275020;-16,71904;-49,28519
74275040;-16,71105;-49,28606
74275050;-16,71260;-49,28581
74275060;-16,71494;-49,29403
74275070;-16,71579;-49,29035
74275080;-16,72099;-49,28459
74275090;-16,71011;-49,28339
74275100;-16,72217;-49,28264
74275110;-16,72280;-49,28106
74275120;-16,72039;-49,28264
74275130;-16,71119;-49,28181
74275140;-16,71798;-49,28105
74275150;-16,72301;-49,28118
74275160;-16,72045;-49,27948
74275170;-16,71779;-49,28482
74275180;-16,72093;-49,28150
74275190;-16,72158;-49,28242
74275200;-16,72248;-49,28227
74275210;-16,72239;-49,27785
74275220;-16,72239;-49,27726
74275225;-16,72213;-49,28913
74275227;-16,72016;-49,27714
74275230;-16,70900;-49,28369
74275240;-16,70921;-49,28057
74275250;-16,70856;-49,28303
74275260;-16,71082;-49,28010
74280010;-16,71725;-49,27470
74280020;-16,72019;-49,27027
74280070;-16,71992;-49,27467
74280090;-16,72126;-49,27404
74280110;-16,72154;-49,27773
74280115;-16,71453;-49,27801
74280130;-16,71874;-49,27268
74280140;-16,71265;-49,27318
74280145;-16,71134;-49,27620
74280150;-16,71406;-49,27326
74280160;-16,71881;-49,27705
74280165;-16,71401;-49,27652
74280170;-16,71414;-49,27608
74280180;-16,71303;-49,27365
74280185;-16,71191;-49,27584
74280190;-16,71738;-49,27525
74280195;-16,71703;-49,27612
74280200;-16,71702;-49,27365
74280205;-16,71589;-49,27675
74280210;-16,71772;-49,27288
74280215;-16,71250;-49,27554
74280220;-16,71850;-49,27214
74280230;-16,71493;-49,27771
74280240;-16,71635;-49,27405
74280245;-16,71196;-49,27748
74280250;-16,71770;-49,27365
74280260;-16,71790;-49,27329
74280262;-16,71739;-49,26961
74280270;-16,71954;-49,27368
74280280;-16,71925;-49,27499
74280285;-16,72061;-49,27435
74280290;-16,72193;-49,27414
74280300;-16,72184;-49,27258
74280310;-16,72084;-49,27056
74280315;-16,72199;-49,27380
74280330;-16,71337;-49,27531
74280360;-16,71765;-49,27403
74280365;-16,71849;-49,27542
74280370;-16,71512;-49,27504
74280380;-16,72129;-49,27060
74290030;-16,70703;-49,28220
74290040;-16,71133;-49,27913
74290045;-16,71198;-49,28013
74290050;-16,71105;-49,27692
74290080;-16,70426;-49,28067
74290090;-16,70440;-49,27965
74290100;-16,70580;-49,28010
74290110;-16,70653;-49,27966
74290130;-16,70780;-49,27898
74290140;-16,70841;-49,27842
74290150;-16,70957;-49,27851
74290160;-16,70959;-49,27752
74290170;-16,71016;-49,27710
74290180;-16,71072;-49,27669
74290190;-16,71111;-49,27640
74290200;-16,71105;-49,27479
74290205;-16,71182;-49,27384
74290210;-16,71160;-49,27436
74290215;-16,71092;-49,27393
74290220;-16,71295;-49,27497
74290290;-16,70955;-49,27991
74303010;-16,70819;-49,30829
74303020;-16,70592;-49,30739
74303030;-16,70290;-49,30669
74303035;-16,69217;-49,30661
74303040;-16,69930;-49,30568
74303050;-16,70466;-49,30677
74303060;-16,69327;-49,30789
74303070;-16,69409;-49,30781
74303075;-16,69439;-49,30520
74303080;-16,69953;-49,30832
74303090;-16,69575;-49,30487
74303100;-16,69515;-49,30342
74303110;-16,69753;-49,30295
