CEP_ORIGEM;LAT_ORIGEM;LOG_ORIGEM;CEP_DESTINO;LAT_DESTINO;LOG_DESTINO
74830145;-16,72773;-49,25989;74180100;-16,70394;-49,26113
74675680;-16,62809;-49,22185;74675680;-16,62809;-49,22185
74425710;-16,67390;-49,31838;74425710;-16,67390;-49,31838
74455140;-16,66998;-49,32766;74455140;-16,66998;-49,32766
74865090;-16,72302;-49,22300;74013030;-16,67866;-49,26052
74474332;-16,60889;-49,31320;74474332;-16,60889;-49,31320
74369054;-16,74626;-49,34589;74533170;-16,68242;-49,28554
74250010;-16,72184;-49,28526;74250010;-16,72184;-49,28526
74484724;-16,70150;-49,36726;74484724;-16,70150;-49,36726
74865090;-16,72302;-49,22300;74013030;-16,67866;-49,26052
74485370;-16,68810;-49,33827;74485370;-16,68810;-49,33827
74371002;-16,73659;-49,35157;74371002;-16,73659;-49,35157
74584220;-16,63635;-49,29461;74584220;-16,63635;-49,29461
74481530;-16,59575;-49,32870;74481530;-16,59575;-49,32870
74370650;-16,72069;-49,34868;74370650;-16,72069;-49,34868
74886032;-16,72690;-49,21433;74230140;-16,71205;-49,27202
74815710;-16,71473;-49,23950;74884900;-16,70300;-49,22721
74355435;-16,78877;-49,35653;74355435;-16,78877;-49,35653
74835230;-16,72732;-49,27652;74835230;-16,72732;-49,27652
74420075;-16,68676;-49,32095;74055045;-16,66593;-49,26636
74420075;-16,68676;-49,32095;74055045;-16,66593;-49,26636
74785420;-16,64683;-49,18089;74785132;-16,64830;-49,19409
74785420;-16,64683;-49,18089;74675830;-16,62567;-49,22551
74455210;-16,66949;-49,33412;74455210;-16,66949;-49,33412
74275140;-16,71798;-49,28105;74160010;-16,70880;-49,26502
74369035;-16,73918;-49,34868;74070100;-16,67464;-49,27205
74655150;-16,65240;-49,25382;74405030;-16,68426;-49,29749
74655150;-16,65240;-49,25382;74405030;-16,68426;-49,29749
74769786;-16,65585;-49,18397;74740200;-16,69132;-49,20553
74610230;-16,67798;-49,23940;74015050;-16,67882;-49,26181
74835460;-16,73661;-49,28371;74690900;-16,61139;-49,26831
74093140;-16,69571;-49,25820;74015020;-16,67972;-49,26073
74093140;-16,69571;-49,25820;74015020;-16,67972;-49,26073
74594052;-16,62904;-49,31810;74594052;-16,62904;-49,31810
74270130;-16,69842;-49,28272;74305380;-16,69552;-49,30023
74690750;-16,60777;-49,24998;74835130;-16,72248;-49,26643
74820110;-16,71135;-49,25397;74820110;-16,71135;-49,25397
74665510;-16,63475;-49,26524;74595333;-16,63149;-49,28571
74463760;-16,65182;-49,33691;74463760;-16,65182;-49,33691
74230110;-16,71616;-49,27094;74120170;-16,68973;-49,26330
74477055;-16,60056;-49,34907;74823040;-16,71216;-49,25852
74815610;-16,72179;-49,22759;74180040;-16,70186;-49,26387
74580370;-16,64910;-49,29866;74023010;-16,67793;-49,26371
74265010;-16,70218;-49,29109;74223080;-16,70979;-49,26919
74393435;-16,73379;-49,35838;74075210;-16,67695;-49,26938
74605120;-16,68625;-49,24971;74820300;-16,71320;-49,25556
74215210;-16,70154;-49,27696;74810100;-16,71088;-49,24312
74473735;-16,63122;-49,32593;74473735;-16,63122;-49,32593
74477421;-16,58522;-49,34122;74805010;-16,71495;-49,23411
74477421;-16,58522;-49,34122;74805010;-16,71495;-49,23411
74815700;-16,71561;-49,24017;74884900;-16,70300;-49,22721
74820210;-16,71039;-49,25411;74820210;-16,71039;-49,25411
74820210;-16,71039;-49,25411;74820210;-16,71039;-49,25411
74477421;-16,58522;-49,34122;74805010;-16,71495;-49,23411
74610230;-16,67798;-49,23940;74015050;-16,67882;-49,26181
74610230;-16,67798;-49,23940;74015050;-16,67882;-49,26181
74492447;-16,69638;-49,41359;74492447;-16,69638;-49,41359
74550180;-16,66856;-49,28641;74160010;-16,70880;-49,26502
74484240;-16,70347;-49,35566;74675380;-16,62413;-49,21803
74210050;-16,70305;-49,28135;74210050;-16,70305;-49,28135
74390389;-16,71995;-49,38486;74275220;-16,72239;-49,27726
74713290;-16,68228;-49,22835;74655145;-16,65467;-49,25402
74810210;-16,70372;-49,24387;74605140;-16,67593;-49,24895
74563300;-16,65476;-49,27149;74835130;-16,72248;-49,26643
74713290;-16,68228;-49,22835;74655145;-16,65467;-49,25402
74070080;-16,66929;-49,27344;74070080;-16,66929;-49,27344
74845490;-16,72666;-49,24657;74845490;-16,72666;-49,24657
74410090;-16,68360;-49,29761;74353250;-16,74892;-49,33238
74493730;-16,65971;-49,39697;74493730;-16,65971;-49,39697
74375500;-16,69313;-49,32891;74643010;-16,67221;-49,24993
74369108;-16,75423;-49,34612;74369108;-16,75423;-49,34612
74475318;-16,60142;-49,32696;74475318;-16,60142;-49,32696
74470541;-16,63234;-49,35786;74605080;-16,67217;-49,24599
74325060;-16,70613;-49,31708;74325060;-16,70613;-49,31708
74493160;-16,66438;-49,39066;74493160;-16,66438;-49,39066
74473827;-16,60873;-49,31971;74473827;-16,60873;-49,31971
74360100;-16,73418;-49,31707;74083070;-16,68472;-49,25316
74455090;-16,67003;-49,32861;74455050;-16,66821;-49,32146
74580300;-16,65230;-49,29694;74230257;-16,68542;-49,28987
74083190;-16,68197;-49,25061;74083190;-16,68197;-49,25061
74650290;-16,65724;-49,24745;74650290;-16,65724;-49,24745
74356220;-16,74807;-49,37682;74356220;-16,74807;-49,37682
74210190;-16,69620;-49,28049;74543350;-16,67387;-49,28115
74230030;-16,72004;-49,26780;74823395;-16,72108;-49,26239
